date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:48	61/61	---M-Z	200	added ('OK')	text/plain	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/robots.txt		(from )
18:52:49	10338/10338	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/	D:/Downloads/petertoth_old/www.petertoth.me/index.html	(from )
18:52:49	109518/109518	---MCZ	200	added ('OK')	text/css	etag:W/%22385b964b68acb68d23cb43a5218fade9%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.2.0/css/bootstrap.min.css	D:/Downloads/petertoth_old/maxcdn.bootstrapcdn.com/bootstrap/3.2.0/css/bootstrap.min.css	(from http://www.petertoth.me/)
18:52:49	55844/55844	---MCZ	200	added ('OK')	text/css	date:Fri,%2015%20Aug%202014%2017:30:21%20GMT	http://cdnjs.cloudflare.com/ajax/libs/animate.css/3.1.1/animate.min.css	D:/Downloads/petertoth_old/cdnjs.cloudflare.com/ajax/libs/animate.css/3.1.1/animate.min.css	(from http://www.petertoth.me/)
18:52:50	21984/21984	---MCZ	200	added ('OK')	text/css	etag:W/%22feda974a77ea5783b8be673f142b7c88%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	D:/Downloads/petertoth_old/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://www.petertoth.me/)
18:52:50	6607/6607	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/css/main.css	D:/Downloads/petertoth_old/www.petertoth.me/css/main.css	(from http://www.petertoth.me/)
18:52:50	28925/28925	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/css/home.css	D:/Downloads/petertoth_old/www.petertoth.me/css/home.css	(from http://www.petertoth.me/)
18:52:50	1410/1410	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/css/overrides.css	D:/Downloads/petertoth_old/www.petertoth.me/css/overrides.css	(from http://www.petertoth.me/)
18:52:51	393/393	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/css/nojs.css	D:/Downloads/petertoth_old/www.petertoth.me/css/nojs.css	(from http://www.petertoth.me/)
18:52:51	377/377	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/js/analytics.js	D:/Downloads/petertoth_old/www.petertoth.me/js/analytics.js	(from http://www.petertoth.me/)
18:52:52	3020/3020	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/js/viewportchecker.js	D:/Downloads/petertoth_old/www.petertoth.me/js/viewportchecker.js	(from http://www.petertoth.me/)
18:52:52	1167/1167	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/js/pushy.min.js	D:/Downloads/petertoth_old/www.petertoth.me/js/pushy.min.js	(from http://www.petertoth.me/)
18:52:52	1355/1355	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/js/main.js	D:/Downloads/petertoth_old/www.petertoth.me/js/main.js	(from http://www.petertoth.me/)
18:52:52	9712/9712	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/js/modernizr.js	D:/Downloads/petertoth_old/www.petertoth.me/js/modernizr.js	(from http://www.petertoth.me/)
18:52:53	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Apr%202015%2016:52:51%20GMT	http://www.petertoth.me/blog	D:/Downloads/petertoth_old/www.petertoth.me/blog.d.delayed	(from http://www.petertoth.me/)
18:52:53	11863/11863	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/blog/	D:/Downloads/petertoth_old/www.petertoth.me/blog/index.html	(from http://www.petertoth.me/)
18:52:53	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Apr%202015%2016:52:52%20GMT	http://www.petertoth.me/blog/archives	D:/Downloads/petertoth_old/www.petertoth.me/blog/archives	(from http://www.petertoth.me/)
18:52:53	3976/3976	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/blog/archives/	D:/Downloads/petertoth_old/www.petertoth.me/blog/archives/index.html	(from http://www.petertoth.me/)
18:52:57	23703/23703	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/images/profile.jpg	D:/Downloads/petertoth_old/www.petertoth.me/images/profile.jpg	(from http://www.petertoth.me/)
18:53:00	95786/95786	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20May%202014%2002:26:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	D:/Downloads/petertoth_old/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from http://www.petertoth.me/)
18:53:01	45860/45860	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/css/flaticon.woff	D:/Downloads/petertoth_old/www.petertoth.me/css/flaticon.woff	(from http://www.petertoth.me/css/home.css)
18:53:03	366558/366558	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/css/flaticon.svg	D:/Downloads/petertoth_old/www.petertoth.me/css/flaticon.svg	(from http://www.petertoth.me/css/home.css)
18:53:05	69564/69564	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/css/flaticon.eot	D:/Downloads/petertoth_old/www.petertoth.me/css/flaticon.eot	(from http://www.petertoth.me/css/home.css)
18:53:06	69396/69396	---M-Z	200	added ('OK')	application/x-font-ttf	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/css/flaticon.ttf	D:/Downloads/petertoth_old/www.petertoth.me/css/flaticon.ttf	(from http://www.petertoth.me/css/home.css)
18:53:06	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Apr%202015%2016:53:05%20GMT	http://www.petertoth.me/unnecessary-background-images	D:/Downloads/petertoth_old/www.petertoth.me/unnecessary-background-images	(from http://www.petertoth.me/blog/)
18:53:06	5974/5974	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/unnecessary-background-images/	D:/Downloads/petertoth_old/www.petertoth.me/unnecessary-background-images/index.html	(from http://www.petertoth.me/blog/)
18:53:14	559/559	---M--	200	added ('OK')	text/css	etag:18860n	https://dl.dropboxusercontent.com/u/159328383/jarjarbinks.css	D:/Downloads/petertoth_old/dl.dropboxusercontent.com/u/159328383/jarjarbinks.css_;%20filename_=UTF-8''jarjarbinks.css	(from http://www.petertoth.me/blog/)
18:53:14	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Apr%202015%2016:53:13%20GMT	http://www.petertoth.me/improving-coding-skills-with-exercism-dot-io	D:/Downloads/petertoth_old/www.petertoth.me/improving-coding-skills-with-exercism-dot-io	(from http://www.petertoth.me/blog/)
18:53:15	12041/12041	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/improving-coding-skills-with-exercism-dot-io/	D:/Downloads/petertoth_old/www.petertoth.me/improving-coding-skills-with-exercism-dot-io/index.html	(from http://www.petertoth.me/blog/)
18:53:15	118763/118763	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/images/foggy.jpg	D:/Downloads/petertoth_old/www.petertoth.me/images/foggy.jpg	(from http://www.petertoth.me/css/home.css)
18:53:17	166642/166642	---M--	200	added ('OK')	image/jpeg	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/images/mountain.jpg	D:/Downloads/petertoth_old/www.petertoth.me/images/mountain.jpg	(from http://www.petertoth.me/css/home.css)
18:53:17	20816/20816	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jan%202015%2021:47:07%20GMT	http://www.petertoth.me/css/blog.css	D:/Downloads/petertoth_old/www.petertoth.me/css/blog.css	(from http://www.petertoth.me/blog/)
18:53:17	854/854	---M--	200	added ('OK')	image/png	etag:%2251f282d4-356%22	http://img2.findthebest.com/sites/default/files/2307/media/images/t2/Light_Gray_429810_i0.png	D:/Downloads/petertoth_old/img2.findthebest.com/sites/default/files/2307/media/images/t2/Light_Gray_429810_i0.png	(from https://dl.dropboxusercontent.com/u/159328383/jarjarbinks.css)
